[' | ', 'Ui', 'L', 'Fi', 'Li', 'Di', 'R', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'Fi', 'U2', 'F', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U2', 'L', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'R', 'U', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'U', 'F2', 'y', 'R', 'F', 'U2', 'R2', 'U', 'yi', 'L2', ' | ', 'Ui', 'Ri', 'U', 'R', 'U', 'Li', 'U', 'L', ' | ', 'L', 'Ui', 'Li', 'Ui', 'Fi', 'U', 'F', ' | ', 'U', 'L', 'Ui', 'Li', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'L', 'U2', 'Li', 'U', 'yi', 'Li', 'U', 'L', ' | ', ' | ', 'F', 'U2', 'Fi', 'Ui', 'F', 'Ui', 'F2', 'U2', 'F', 'U', 'Fi', 'U', 'F', ' | ', 'U2', 'Mi', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui', 'Mi', 'U2']
[' | ', 'L', 'D2', 'yi', 'L', 'D2', 'D', 'L', 'Di', 'F', 'L', 'D', 'Ri', 'Di', ' | ', 'U', 'y', 'R', 'U', 'Ri', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'yi', 'L', 'U2', 'Li', 'Fi', 'Ui', 'F', ' | ', 'y', 'Ri', 'Ui', 'R', 'U', 'L', 'Ui', 'Li', ' | ', 'Ri', 'Ui', 'R', ' | ', ' | ', 'F', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ']
[' | ', 'F', 'Di', 'L', 'D', 'F', 'Ri', 'Fi', 'U2', 'yi', 'L2', 'D', 'R', 'Di', ' | ', 'U2', 'Fi', 'U2', 'F', 'U', 'yi', 'Li', 'U', 'L', ' | ', 'Fi', 'U', 'F', ' | ', 'Ui', 'yi', 'L', 'U', 'Li', ' | ', 'Ui', 'Li', 'Ui', 'L', 'U2', 'Li', 'U', 'L', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'Ui', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'U']
[' | ', 'U2', 'F2', 'U', 'F', 'Ri', 'Fi', 'Di', 'Ri', 'D', ' | ', 'L', 'Ui', 'Li', 'U', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'Li', 'U', 'L', 'Ui', 'L', 'U', 'Li', ' | ', 'U', 'F', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', 'U2', 'Fi', 'U2', 'F', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'y', 'R', 'Ui', 'Li', 'U', 'Ri', 'Ui', 'L', ' | ', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'U']
[' | ', 'Di', 'L', 'D', 'D', 'yi', 'L', 'Di', 'D', 'Fi', 'Di', 'L', 'Fi', 'Li', ' | ', 'yi', 'Li', 'Ui', 'L', 'Ri', 'U', 'R', ' | ', 'U', 'F', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', 'U', 'L', 'U2', 'Li', 'U2', 'y', 'Ri', 'U', 'R', ' | ', 'F', 'U', 'Fi', ' | ', ' | ', 'U2', 'L', 'U', 'Li', 'U', 'Li', 'yi', 'L', 'F', 'Li', 'F', 'U2', 'Fi', ' | ', 'U2', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'U2']
[' | ', 'U', 'L', 'Fi', 'Li', 'Ui', 'R2', 'D2', 'Fi', 'D2', 'D', 'F', 'Di', ' | ', 'Fi', 'U', 'F', 'U2', 'yi', 'L', 'Ui', 'Li', ' | ', 'U', 'R', 'U2', 'Ri', 'U2', 'Li', 'Ui', 'L', ' | ', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'U2', 'R', 'U', 'Ri', ' | ', ' | ', 'F', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ', 'U2', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui']
[' | ', 'F', 'Di', 'L', 'D', 'U', 'F', 'Ri', 'Fi', 'D2', 'Fi', 'D2', ' | ', 'U', 'F', 'U', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', 'U', 'L', 'U', 'Li', ' | ', 'U2', 'Ri', 'U2', 'R', 'R', 'U', 'Ri', ' | ', 'Ri', 'Ui', 'R', 'U', 'Ri', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'U', 'F', 'U', 'y', 'Ri', 'U', 'Li', 'Ui', 'R', ' | ', 'U2', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'Mi', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'Mi']
[' | ', 'D2', 'y', 'R', 'D2', 'Ui', 'L', 'Fi', 'Li', 'U2', 'F', 'Ri', 'Fi', 'y', 'Ri', ' | ', 'U2', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'U', 'R', ' | ', 'Li', 'U', 'L', 'R', 'U', 'Ri', 'L', 'Ui', 'Li', ' | ', 'R', 'U2', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', 'F', 'Ui', 'Fi', 'U', 'F', 'U', 'Fi', ' | ', ' | ', 'R', 'y', 'Ri', 'Fi', 'R', 'U2', 'R', 'U2', 'Ri', ' | ', 'U', 'Mi', 'U', 'Mi', 'U2', 'M', 'U', 'M2', 'U', 'Mi']
[' | ', 'y', 'R', 'D', 'F', 'Di', 'R', 'D', 'L', 'Di', ' | ', 'yi', 'Li', 'U2', 'L', 'U2', 'F', 'U', 'Fi', ' | ', 'U', 'y', 'Ri', 'U', 'R', 'U2', 'R', 'Ui', 'Ri', ' | ', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'Li', 'Ui', 'L', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'y', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Ui', 'R', 'Ui', 'Ri', ' | ']
[' | ', 'D2', 'y', 'R', 'D2', 'Ui', 'L', 'Fi', 'Li', 'y', 'R', 'D', 'Ri', 'Di', 'D2', 'L', 'D2', ' | ', 'Li', 'Ui', 'L', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U2', 'y', 'R', 'Ui', 'Ri', ' | ', 'U2', 'F', 'Ui', 'Fi', 'U', 'Ri', 'U', 'R', ' | ', 'F', 'U', 'Fi', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'U2', 'y', 'Ri', 'F', 'Ui', 'R', 'F', 'Ri', 'U', 'R', 'Fi', ' | ']
[' | ', 'U2', 'F2', 'R2', 'R', 'y', 'Ri', 'Fi', 'D', 'Li', 'Di', ' | ', 'U', 'Li', 'U2', 'L', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'U2', 'R', 'Ui', 'Ri', 'Ui', 'L', 'U', 'Li', ' | ', 'Ui', 'Ri', 'U2', 'R', 'Ui', 'Fi', 'U', 'F', ' | ', 'yi', 'L', 'U2', 'Li', 'Ui', 'L', 'U', 'Li', ' | ', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'F2', 'U', 'Fi', 'U', 'F', 'U2', 'Fi', ' | ', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U', 'M', 'U2', 'Mi', 'U', 'M', 'Ui']
[' | ', 'U2', 'F2', 'L', 'D', 'yi', 'L', 'Di', 'F', 'D', 'Fi', 'Di', 'Ui', 'F2', ' | ', 'U2', 'Li', 'Ui', 'L', 'yi', 'L', 'U', 'Li', ' | ', 'F', 'U2', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', 'U2', 'R', 'Ui', 'Ri', 'U2', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'F', 'R', 'Ui', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Fi', ' | ', 'Ui', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2']
[' | ', 'U2', 'L', 'Fi', 'Li', 'R2', 'D2', 'Fi', 'D2', 'U2', 'yi', 'L', 'Fi', 'Li', ' | ', 'Ui', 'F', 'U', 'Fi', ' | ', 'Ui', 'R', 'Ui', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'y', 'Ri', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', ' | ', 'F', 'Ui', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'R', 'y', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ', 'Mi', 'U', 'Mi', 'U', 'Mi', 'U2', 'M', 'U', 'M', 'U', 'M']
[' | ', 'L', 'Di', 'Li', 'D', 'L', 'D', 'yi', 'L', 'Di', 'Li', 'Ui', 'L', 'Fi', 'Li', ' | ', 'yi', 'Li', 'U', 'L', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'L', 'U', 'Li', 'Ui', 'yi', 'L', 'Ui', 'Li', ' | ', 'Ui', 'F', 'U2', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', 'U2', 'R', 'U2', 'Ri', 'U2', 'R', 'U', 'Ri', ' | ', ' | ', 'L', 'U2', 'Li', 'Ui', 'L', 'Ui', 'L2', 'U2', 'L', 'U', 'Li', 'U', 'L', ' | ', 'U2', 'Fi', 'Ui', 'F', 'U', 'M', 'Ui', 'Fi', 'U', 'F', 'Mi', 'Ui']
[' | ', 'Fi', 'R2', 'Di', 'Ri', 'D', 'U', 'L2', ' | ', 'y', 'Ri', 'U', 'R', 'U2', 'L', 'Ui', 'Li', ' | ', 'U', 'R', 'Ui', 'Ri', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'y', 'R', 'U2', 'Ri', 'U2', 'Li', 'Ui', 'L', ' | ', 'Ui', 'R', 'Ui', 'Ri', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'y', 'R2', 'Ui', 'R', 'F', 'Ri', 'U', 'R2', 'Ui', 'Ri', 'Fi', 'R', ' | ', 'U', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi']
[' | ', 'U2', 'L', 'Fi', 'Li', 'F', 'Ri', 'Fi', 'y', 'R', 'Di', 'F', 'D', 'R', 'y', 'Ri', 'Fi', ' | ', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'Ri', 'U2', 'R', 'U2', 'yi', 'Li', 'U', 'L', ' | ', 'U', 'Fi', 'U2', 'F', 'R', 'U', 'Ri', ' | ', 'U', 'L', 'U', 'Li', 'U', 'yi', 'Li', 'Ui', 'L', ' | ', ' | ', 'Li', 'U2', 'L', 'U2', 'L', 'Fi', 'Li', 'F', ' | ', 'Mi', 'Ui', 'M', 'U', 'Mi', 'Ui', 'M', 'Ui', 'Mi', 'U2', 'M']
[' | ', 'F', 'Di', 'L', 'D', 'y', 'R', 'F', 'y', 'R', 'D', 'Ri', 'Di', 'Ri', ' | ', 'Ui', 'Li', 'U', 'L', 'U', 'Fi', 'Ui', 'F', ' | ', 'yi', 'L', 'U2', 'Li', 'U', 'L', 'Ui', 'Li', ' | ', 'U', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'Li', 'Ui', 'L', 'U', 'F', 'Ui', 'Fi', ' | ', ' | ', 'U', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U', 'Ri', 'Di', 'R', 'U', 'Ri', 'D', 'R2', ' | ', 'Ui', 'Mi', 'U', 'Mi', 'U2', 'M', 'U', 'M2', 'U', 'Mi', 'Ui']
[' | ', 'F2', 'R2', 'L', 'D', 'Li', 'Di', 'U2', 'yi', 'L', 'Fi', 'Li', ' | ', 'R', 'Ui', 'Ri', 'U', 'R', 'U', 'Ri', ' | ', 'U', 'F', 'Ui', 'Fi', 'Ui', 'Ri', 'U', 'R', ' | ', 'U2', 'Li', 'Ui', 'L', 'U2', 'Li', 'U', 'L', ' | ', 'U', 'yi', 'Li', 'U', 'L', 'Ui', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'Ri', 'F', 'R', 'U2', 'L2', 'yi', 'L', 'F', 'Li', 'F', ' | ']
[' | ', 'U', 'L', 'Fi', 'Li', 'L', 'D2', 'Li', 'D2', 'L', 'D', 'Li', 'Di', 'U2', 'yi', 'L', 'Fi', 'Li', ' | ', 'Ui', 'Fi', 'Ui', 'F', 'Ui', 'Li', 'U', 'L', ' | ', 'U', 'R', 'Ui', 'Ri', 'U2', 'y', 'R', 'U', 'Ri', ' | ', 'U2', 'F', 'Ui', 'Fi', 'U2', 'F', 'U', 'Fi', ' | ', 'U', 'Ri', 'Ui', 'R', 'U', 'yi', 'L', 'U', 'Li', ' | ', ' | ', 'Ui', 'F', 'R2', 'D', 'Ri', 'U', 'R', 'Di', 'R2', 'Ui', 'Fi', ' | ', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'Ui']
[' | ', 'D', 'y', 'R', 'Di', 'Ri', 'D2', 'F', 'D2', ' | ', 'U2', 'Li', 'U', 'L', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', 'U2', 'Li', 'U', 'L', 'Ui', 'L', 'U', 'Li', ' | ', 'Ui', 'Li', 'Ui', 'L', ' | ', ' | ', 'F', 'Ri', 'Ui', 'R', 'Fi', 'Ri', 'U', 'Fi', 'R', ' | ']
[' | ', 'D2', 'y', 'Ri', 'D2', 'D', 'R', 'Di', 'Di', 'F', 'D', 'Ui', 'R', 'y', 'Ri', 'Fi', ' | ', 'Ui', 'y', 'Ri', 'Ui', 'R', 'U2', 'R', 'U', 'Ri', ' | ', 'Ui', 'L', 'U2', 'Li', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U', 'F', 'Ui', 'Fi', 'Ui', 'yi', 'Li', 'Ui', 'L', ' | ', 'U', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'Ui', 'F', ' | ', ' | ', 'Ui', 'R', 'U', 'Ri', 'U', 'R', 'U', 'Li', 'U', 'Ri', 'Ui', 'L', ' | ', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'U2']
[' | ', 'F', 'R', 'U2', 'R', 'y', 'Ri', 'Fi', 'Di', 'R', 'D', ' | ', 'U', 'Ri', 'U', 'R', ' | ', 'Ui', 'Fi', 'U2', 'F', 'Ui', 'yi', 'Li', 'Ui', 'L', ' | ', 'U2', 'Fi', 'Ui', 'F', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Fi', 'U', 'F', 'Ui', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U2', 'Ri', 'F', 'Ui', 'R', 'F', 'Ri', 'U', 'R', 'Fi', ' | ']
[' | ', 'U', 'L', 'Fi', 'Li', 'U', 'F', 'Ri', 'Fi', 'y', 'Ri', ' | ', 'U2', 'Li', 'Ui', 'L', 'U', 'Ri', 'U', 'R', ' | ', 'U', 'Li', 'U', 'L', ' | ', 'L', 'U', 'Li', 'U2', 'Fi', 'U', 'F', 'L', 'U', 'Li', ' | ', 'Ui', 'R', 'U', 'Ri', 'U2', 'Fi', 'U', 'F', ' | ', ' | ', 'U', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U', 'Li', 'Di', 'L', 'U', 'Li', 'D', 'L2', ' | ', 'U2', 'Fi', 'Ui', 'Fi', 'L', 'F', 'Li', 'U', 'F', 'L', 'F', 'U', 'Fi', 'Ui', 'Li', 'U']
[' | ', 'U2', 'F2', 'U2', 'yi', 'L2', 'F2', ' | ', 'U', 'Li', 'U2', 'L', 'Ri', 'U', 'R', ' | ', 'U', 'yi', 'Li', 'U2', 'L', 'U', 'Fi', 'U', 'F', ' | ', 'U2', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'U', 'R', ' | ', 'F', 'U2', 'Fi', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'yi', 'Li', 'U2', 'L', 'U2', 'L', 'Fi', 'Li', 'F', ' | ', 'Mi', 'U2', 'M', 'U2', 'Mi', 'Ui', 'M', 'U2', 'Mi', 'U2', 'M', 'U']
[' | ', 'F', 'D2', 'Li', 'D2', 'yi', 'Li', 'U2', 'F2', ' | ', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'Ui', 'R', ' | ', 'R', 'Ui', 'Ri', 'Ui', 'Li', 'Ui', 'L', ' | ', 'U', 'yi', 'Li', 'U2', 'L', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Li', 'Ui', 'L', 'U', 'F', 'U', 'Fi', ' | ', ' | ', 'U2', 'R', 'U', 'Ri', 'U', 'Ri', 'F', 'R', 'Fi', 'R', 'U2', 'Ri', ' | ', 'U', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M', 'U2']
[' | ', 'D2', 'yi', 'L', 'D2', 'D', 'L', 'Di', 'D', 'Fi', 'Di', 'D2', 'y', 'Ri', 'D2', ' | ', 'L', 'Ui', 'Li', 'Ui', 'F', 'U', 'Fi', ' | ', 'Fi', 'U', 'F', 'L', 'U', 'Li', ' | ', 'y', 'R', 'U2', 'Ri', 'U2', 'Li', 'U', 'L', ' | ', 'U2', 'Fi', 'Ui', 'F', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'U', 'F', 'Ui', 'F', 'D', 'Fi', 'Ui', 'F', 'Di', 'F2', ' | ', 'U', 'Fi', 'Ui', 'Fi', 'L', 'F', 'Li', 'U', 'F', 'L', 'F', 'U', 'Fi', 'Ui', 'Li', 'U2']
[' | ', 'D', 'R', 'Di', 'U2', 'R2', 'y', 'Ri', 'D', 'L', 'Di', ' | ', 'F', 'U', 'Fi', ' | ', 'U', 'Ri', 'U', 'R', ' | ', 'Ui', 'L', 'Ui', 'Li', 'Ui', 'R', 'U', 'Ri', ' | ', 'U2', 'yi', 'Li', 'Ui', 'L', 'U', 'F', 'Ui', 'Fi', ' | ', ' | ', 'U', 'R', 'y', 'R', 'Ui', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Fi', ' | ', 'Ui', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2']
[' | ', 'F2', 'Ui', 'F', 'Ri', 'Fi', 'D', 'Li', 'Di', 'Di', 'y', 'Ri', 'D', ' | ', 'U2', 'Fi', 'U', 'F', 'U', 'yi', 'L', 'U', 'Li', ' | ', 'F', 'U2', 'Fi', 'R', 'Ui', 'Ri', ' | ', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'Li', 'Ui', 'L', ' | ', 'U2', 'y', 'R', 'U2', 'Ri', 'U', 'Fi', 'U', 'F', ' | ', ' | ', 'U', 'F', 'R', 'Ui', 'Ri', 'U', 'R', 'U2', 'Ri', 'Ui', 'Fi', ' | ', 'Fi', 'Ui', 'F', 'U', 'M', 'Ui', 'Fi', 'U', 'F', 'Mi', 'Ui']
[' | ', 'U2', 'L', 'Fi', 'Li', 'U2', 'F', 'Ri', 'Fi', 'Ui', 'yi', 'L2', 'U', 'L', 'Fi', 'Li', ' | ', 'Ui', 'L', 'U', 'Li', 'Ri', 'Ui', 'R', ' | ', 'R', 'U', 'Ri', 'U', 'Li', 'Ui', 'L', ' | ', 'Ui', 'L', 'U', 'Li', ' | ', 'R', 'U2', 'Ri', 'U', 'Fi', 'U', 'F', ' | ', ' | ', 'Li', 'U2', 'Li', 'Di', 'L', 'U2', 'Li', 'D', 'L2', ' | ', 'F', 'U', 'F', 'Ri', 'Fi', 'R', 'Ui', 'Fi', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'U']
[' | ', 'R', 'F', 'R', 'Di', 'Ri', 'D', 'Di', 'y', 'Ri', 'D', ' | ', 'R', 'Ui', 'Ri', ' | ', 'F', 'U2', 'Fi', 'Ui', 'L', 'Ui', 'Li', ' | ', 'U', 'Ri', 'U', 'R', 'Ui', 'F', 'U', 'Fi', ' | ', 'Ui', 'Ri', 'Ui', 'R', 'U', 'y', 'R', 'Ui', 'Ri', ' | ', ' | ', 'F2', 'Di', 'F', 'U2', 'Fi', 'D', 'F', 'U2', 'F', ' | ', 'M2', 'U', 'M', 'Ui', 'Mi', 'Ui', 'Mi', 'U', 'Mi', 'U', 'Mi', 'Ui', 'M', 'U2']
[' | ', 'U2', 'F2', 'L', 'D2', 'Li', 'D2', 'Ui', 'R', 'y', 'Ri', 'Fi', 'U', 'yi', 'L2', ' | ', 'U2', 'Li', 'U', 'L', 'U', 'Ri', 'Ui', 'R', ' | ', 'L', 'U', 'Li', 'U', 'Li', 'U', 'L', ' | ', 'U2', 'Fi', 'U', 'F', ' | ', 'U', 'L', 'Ui', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', ' | ', 'Ri', 'U2', 'Ri', 'Di', 'R', 'U2', 'Ri', 'D', 'R2', ' | ', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'Mi']
[' | ', 'R', 'F', 'Di', 'Fi', 'D', 'L', 'yi', 'L', 'Ui', 'F2', ' | ', 'y', 'Ri', 'Ui', 'R', 'Ui', 'Fi', 'U', 'F', ' | ', 'U2', 'L', 'Ui', 'Li', 'U', 'Li', 'Ui', 'L', ' | ', 'Ri', 'U', 'R', 'U', 'Ri', 'Ui', 'R', ' | ', 'L', 'Ui', 'Li', 'Ui', 'y', 'Ri', 'Ui', 'R', ' | ', ' | ', 'U', 'F', 'Ri', 'Fi', 'R', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', 'U2', 'Ri', ' | ', 'U', 'L', 'F', 'U', 'Fi', 'Ui', 'L2', 'yi', 'Li', 'Ui', 'L', 'U', 'F', 'U2']
[' | ', 'Di', 'Li', 'D', 'R', 'U', 'R', 'y', 'Ri', 'Fi', 'y', 'Ri', ' | ', 'Li', 'U', 'L', 'Fi', 'Ui', 'F', ' | ', 'U', 'Li', 'U2', 'L', 'Ri', 'U', 'R', ' | ', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'Li', 'Ui', 'L', ' | ', 'Ui', 'yi', 'Li', 'U2', 'L', 'Ui', 'Li', 'U', 'L', ' | ', ' | ', 'U', 'F', 'U2', 'F2', 'L', 'F', 'Li', 'F', 'U2', 'Fi', ' | ', 'U', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'U']
[' | ', 'L', 'Di', 'Li', 'D', 'R', 'Di', 'F', 'D', 'Di', 'Ri', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'Fi', 'U2', 'F', 'U2', 'Fi', 'U', 'F', ' | ', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U2', 'L', 'U', 'Li', 'Ui', 'L', ' | ', 'L', 'U2', 'Li', 'U', 'y', 'Ri', 'Ui', 'R', ' | ', ' | ', 'U', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U', 'Ri', 'Di', 'R', 'U', 'Ri', 'D', 'R2', ' | ', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'Mi']
[' | ', 'Ui', 'F2', 'R', 'Di', 'F', 'D', 'Di', 'Ri', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'U', 'L', 'U', 'Li', ' | ', 'U2', 'Ri', 'U', 'R', 'U2', 'R', 'U', 'Ri', ' | ', 'Ui', 'Li', 'U2', 'L', 'U', 'Ri', 'U', 'R', ' | ', 'U', 'Li', 'U2', 'L', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'U', 'F', 'U', 'y', 'Ri', 'U', 'Li', 'Ui', 'R', ' | ', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2']
[' | ', 'F', 'L', 'D', 'yi', 'L', 'Di', 'D2', 'R', 'D2', 'U', 'F2', ' | ', 'Ui', 'Li', 'U2', 'L', 'U', 'Ri', 'U', 'R', ' | ', 'U2', 'yi', 'Li', 'U', 'L', ' | ', 'U', 'Ri', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', ' | ', 'U', 'R', 'Ui', 'Ri', 'U', 'R', 'U', 'Ri', ' | ', ' | ', 'U2', 'R', 'U', 'Ri', 'U', 'Ri', 'F', 'R', 'Fi', 'R', 'U2', 'Ri', ' | ', 'Ui', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui']
[' | ', 'L', 'D2', 'y', 'R', 'D2', 'F', 'U', 'R2', 'Di', 'Ri', 'D', ' | ', 'U', 'yi', 'Li', 'U2', 'L', 'U2', 'Li', 'U', 'L', ' | ', 'U2', 'Fi', 'U', 'F', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'L', 'Ui', 'Li', 'y', 'Ri', 'Ui', 'R', ' | ', 'U', 'Fi', 'U2', 'F', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U2', 'R', 'U2', 'Ri', 'U2', 'Ri', 'F', 'R', 'Fi', ' | ', 'U2', 'Fi', 'Ui', 'Fi', 'L', 'F', 'Li', 'U', 'F', 'L', 'F', 'U', 'Fi', 'Ui', 'Li']
[' | ', 'y', 'R', 'D', 'F', 'Di', 'D', 'R', 'Di', 'Di', 'Fi', 'D', 'yi', 'L', ' | ', 'Fi', 'Ui', 'F', ' | ', 'U', 'Li', 'U2', 'L', 'Ui', 'yi', 'Li', 'Ui', 'L', ' | ', 'U', 'Fi', 'U2', 'F', 'U', 'y', 'Ri', 'Ui', 'R', ' | ', 'U', 'Li', 'U', 'L', 'U2', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'F', 'Ri', 'Fi', 'R', ' | ', 'U', 'Mi', 'Ui', 'M', 'U', 'Mi', 'Ui', 'M', 'Ui', 'Mi', 'U2', 'M', 'U']
